唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
62,90,5:58010,255,,13653,20:50,25344;9:-4;10:-4;19:-6|28210;9:-6;10:-6;19:-12|31258;9:-10;10:-10;19:-18|34988;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
63,90,5:58130,245,,13684,20:50,25394;9:-4;10:-4;19:-6|28262;9:-6;10:-6;19:-12|31315;9:-10;10:-10;19:-18|35052;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
64,90,5:58240,275,,13909,20:50,25754;9:-4;10:-4;19:-6|28645;9:-6;10:-6;19:-12|31731;9:-10;10:-10;19:-18|35513;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,CardUnlock52,3;30
65,90,5:58360,253,12121:1,13941,20:50,25805;9:-4;10:-4;19:-6|28699;9:-6;10:-6;19:-12|31790;9:-10;10:-10;19:-18|35579;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
66,90,5:58480,265,,13099,20:50,24458;9:-4;10:-4;19:-6|27268;9:-6;10:-6;19:-12|30233;9:-10;10:-10;19:-18|33852;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
67,90,5:58590,289,,13129,20:50,24506;9:-4;10:-4;19:-6|27319;9:-6;10:-6;19:-12|30288;9:-10;10:-10;19:-18|33914;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
68,90,5:58710,294,,13822,20:50,25615;9:-4;10:-4;19:-6|28497;9:-6;10:-6;19:-12|31570;9:-10;10:-10;19:-18|35335;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
69,90,5:58820,315,,13853,20:50,25664;9:-4;10:-4;19:-6|28550;9:-6;10:-6;19:-12|31628;9:-10;10:-10;19:-18|35398;9:-12;10:-12;19:-24,10;9:-2;10:-2;19:-2|20;9:-3;10:-3;19:-4|30;9:-4;10:-4;19:-5|50;9:-5;10:-5;19:-6|80;9:-6;10:-6;19:-8|120;9:-8;10:-8;19:-12|150;9:-12;10:-12;19:-14|180;9:-14;10:-14;19:-16|240;9:-16;10:-16;19:-18|300;9:-18;10:-18;19:-20|360;9:-20;10:-20;19:-22|420;9:-22;10:-22;19:-26|480;9:-26;10:-26;19:-28|540;9:-28;10:-28;19:-32,7,,3;30
70,90,5:58940,316,12122:1,13883,20:50,25712;9:-4;10:-4;19:-6|28601;9:-6;10:-6;19:-12|31683;9:-10;10:-10;19:-18|35460;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
71,90,5:60200,215,,14368,20:50,26488;9:-4;10:-4;19:-6|29425;9:-6;10:-6;19:-12|32580;9:-10;10:-10;19:-18|36454;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
72,90,5:60330,241,,14399,20:50,26538;9:-4;10:-4;19:-6|29478;9:-6;10:-6;19:-12|32638;9:-10;10:-10;19:-18|36517;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
73,90,5:60450,242,,14430,20:50,26588;9:-4;10:-4;19:-6|29531;9:-6;10:-6;19:-12|32695;9:-10;10:-10;19:-18|36581;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
74,90,5:60570,266,,14950,20:50,27420;9:-4;10:-4;19:-6|30415;9:-6;10:-6;19:-12|33657;9:-10;10:-10;19:-18|37647;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,CardUnlock62,3;30
75,90,5:60690,266,12121:1,14982,20:50,27471;9:-4;10:-4;19:-6|30469;9:-6;10:-6;19:-12|33716;9:-10;10:-10;19:-18|37713;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
76,90,5:60820,275,,15014,20:50,27522;9:-4;10:-4;19:-6|30523;9:-6;10:-6;19:-12|33775;9:-10;10:-10;19:-18|37778;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
77,90,5:60940,279,,15046,20:50,27573;9:-4;10:-4;19:-6|30578;9:-6;10:-6;19:-12|33835;9:-10;10:-10;19:-18|37844;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
78,90,5:61060,323,,17181,20:50,30989;9:-4;10:-4;19:-6|34207;9:-6;10:-6;19:-12|37784;9:-10;10:-10;19:-18|42221;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
79,90,5:61190,327,,17216,20:50,31045;9:-4;10:-4;19:-6|34267;9:-6;10:-6;19:-12|37849;9:-10;10:-10;19:-18|42292;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
80,90,5:61310,331,12122:1,17252,20:50,31103;9:-4;10:-4;19:-6|34328;9:-6;10:-6;19:-12|37916;9:-10;10:-10;19:-18|42366;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
81,90,5:61550,382,,19305,20:50,34388;9:-4;10:-4;19:-6|37818;9:-6;10:-6;19:-12|41714;9:-10;10:-10;19:-18|46575;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
82,90,5:61680,387,,19344,20:50,34450;9:-4;10:-4;19:-6|37884;9:-6;10:-6;19:-12|41786;9:-10;10:-10;19:-18|46655;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
83,90,5:61800,391,,19384,20:50,34514;9:-4;10:-4;19:-6|37952;9:-6;10:-6;19:-12|41860;9:-10;10:-10;19:-18|46737;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
84,90,5:61920,396,,19410,20:50,34556;9:-4;10:-4;19:-6|37997;9:-6;10:-6;19:-12|41908;9:-10;10:-10;19:-18|46790;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,CardUnlock13,3;50
85,90,5:62050,427,12121:1,20666,20:50,36565;9:-4;10:-4;19:-6|40132;9:-6;10:-6;19:-12|44232;9:-10;10:-10;19:-18|49365;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
86,90,5:62170,431,,20694,20:50,36610;9:-4;10:-4;19:-6|40179;9:-6;10:-6;19:-12|44283;9:-10;10:-10;19:-18|49422;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
87,90,5:62290,436,,20721,20:50,36653;9:-4;10:-4;19:-6|40225;9:-6;10:-6;19:-12|44333;9:-10;10:-10;19:-18|49478;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
88,90,5:62410,441,,20749,20:50,36698;9:-4;10:-4;19:-6|40273;9:-6;10:-6;19:-12|44385;9:-10;10:-10;19:-18|49535;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
89,90,5:62540,461,,20776,20:50,36741;9:-4;10:-4;19:-6|40319;9:-6;10:-6;19:-12|44435;9:-10;10:-10;19:-18|49590;9:-12;10:-12;19:-24,10;9:-2;10:-2;19:-2|20;9:-3;10:-3;19:-4|30;9:-4;10:-4;19:-5|50;9:-5;10:-5;19:-6|80;9:-6;10:-6;19:-8|120;9:-8;10:-8;19:-12|150;9:-12;10:-12;19:-14|180;9:-14;10:-14;19:-16|240;9:-16;10:-16;19:-18|300;9:-18;10:-18;19:-20|360;9:-20;10:-20;19:-22|420;9:-22;10:-22;19:-26|480;9:-26;10:-26;19:-28|540;9:-28;10:-28;19:-32,7,,3;50
90,90,5:62660,482,12122:1,21469,20:50,37850;9:-4;10:-4;19:-6|41497;9:-6;10:-6;19:-12|45717;9:-10;10:-10;19:-18|51011;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
91,90,5:62780,342,,21497,20:50,37895;9:-4;10:-4;19:-6|41544;9:-6;10:-6;19:-12|45769;9:-10;10:-10;19:-18|51068;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
92,90,5:62910,382,,21497,20:50,37895;9:-4;10:-4;19:-6|41544;9:-6;10:-6;19:-12|45769;9:-10;10:-10;19:-18|51068;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
93,90,5:63040,394,,21952,20:50,38623;9:-4;10:-4;19:-6|42318;9:-6;10:-6;19:-12|46611;9:-10;10:-10;19:-18|52001;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
94,90,5:63160,415,,21952,20:50,38623;9:-4;10:-4;19:-6|42318;9:-6;10:-6;19:-12|46611;9:-10;10:-10;19:-18|52001;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
95,90,5:63290,415,12121:1,21952,20:50,38623;9:-4;10:-4;19:-6|42318;9:-6;10:-6;19:-12|46611;9:-10;10:-10;19:-18|52001;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
96,90,5:63420,428,,21952,20:50,38623;9:-4;10:-4;19:-6|42318;9:-6;10:-6;19:-12|46611;9:-10;10:-10;19:-18|52001;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
97,90,5:63550,446,,22390,20:50,39324;9:-4;10:-4;19:-6|43063;9:-6;10:-6;19:-12|47421;9:-10;10:-10;19:-18|52899;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
98,90,5:63680,451,,22390,20:50,39324;9:-4;10:-4;19:-6|43063;9:-6;10:-6;19:-12|47421;9:-10;10:-10;19:-18|52899;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;50
